,Player,Player Team,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,outrate,MRA,BRPI
0,DA Warner,(Sunrisers Hyderabad),12,12,2,692,100*,69.2,481,143.86,1,8,0,57,21,0.02079002079002079,0.75,29.5
3,S Dhawan,(Delhi Capitals),16,16,1,521,97*,34.73,384,135.67,0,5,1,64,11,0.0390625,0.3125,20.125
5,CH Gayle,(Kings XI Punjab),13,13,1,490,99*,40.83,319,153.6,0,4,0,45,34,0.03761755485893417,0.3076923076923077,29.53846153846154
13,CA Lynn,(Kolkata Knight Riders),13,13,0,405,82,31.15,290,139.65,0,4,2,41,22,0.04482758620689655,0.3076923076923077,22.76923076923077
14,RG Sharma,(Mumbai Indians),15,15,1,405,67,28.92,315,128.57,0,2,0,52,10,0.044444444444444446,0.13333333333333333,17.866666666666667
16,SR Watson,(Chennai Super Kings),17,17,0,398,96,23.41,312,127.56,0,3,3,42,20,0.05448717948717949,0.17647058823529413,16.941176470588236
18,AM Rahane,(Rajasthan Royals),14,13,1,393,105*,32.75,285,137.89,1,1,1,45,9,0.042105263157894736,0.15384615384615385,18.0
20,PA Patel,(Royal Challengers Bangalore),14,14,0,373,67,26.64,268,139.17,0,2,1,48,10,0.05223880597014925,0.14285714285714285,18.0
21,PP Shaw,(Delhi Capitals),16,16,0,353,99,22.06,264,133.71,0,2,1,45,9,0.06060606060606061,0.125,14.625
23,N Rana,(Kolkata Knight Riders),14,11,1,344,85*,34.4,235,146.38,0,3,1,27,21,0.0425531914893617,0.2727272727272727,21.272727272727273
28,Shubman Gill,(Kolkata Knight Riders),14,13,4,296,76,32.88,238,124.36,0,3,0,21,10,0.037815126050420166,0.23076923076923078,11.076923076923077
30,AT Rayudu,(Chennai Super Kings),17,17,5,282,57,23.5,303,93.06,0,1,2,20,7,0.039603960396039604,0.058823529411764705,7.176470588235294
4,AD Russell,(Kolkata Knight Riders),14,13,4,510,80*,56.66,249,204.81,0,4,1,31,52,0.03614457831325301,0.3076923076923077,33.53846153846154
7,V Kohli,(Royal Challengers Bangalore),14,14,0,464,100,33.14,328,141.46,1,2,0,46,13,0.042682926829268296,0.21428571428571427,18.714285714285715
8,SS Iyer,(Delhi Capitals),16,16,1,463,67,30.86,386,119.94,0,3,0,41,14,0.038860103626943004,0.1875,15.5
11,SA Yadav,(Mumbai Indians),16,15,2,424,71*,32.61,324,130.86,0,2,0,45,10,0.040123456790123455,0.13333333333333333,16.0
15,HH Pandya,(Mumbai Indians),16,15,6,402,91,44.66,210,191.42,0,1,1,28,29,0.04285714285714286,0.06666666666666667,19.066666666666666
17,F du Plessis,(Chennai Super Kings),12,12,1,396,96,36.0,321,123.36,0,3,0,36,15,0.03426791277258567,0.25,19.5
19,SK Raina,(Chennai Super Kings),17,17,1,383,59,23.93,314,121.97,0,3,1,45,9,0.050955414012738856,0.17647058823529413,13.764705882352942
22,MK Pandey,(Sunrisers Hyderabad),12,11,3,344,83*,43.0,263,130.79,0,3,0,34,6,0.030418250950570342,0.2727272727272727,15.636363636363637
25,MA Agarwal,(Kings XI Punjab),13,13,0,332,58,25.53,234,141.88,0,2,1,26,14,0.05555555555555555,0.15384615384615385,14.461538461538462
26,SPD Smith,(Rajasthan Royals),12,10,2,319,73*,39.87,275,116.0,0,3,0,30,4,0.02909090909090909,0.3,14.4
