,Player,Player Team,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,outrate,MRA,BRPI
1,S Dhawan,(Delhi Capitals),17,17,3,618,106*,44.14,427,144.73,2,4,4,67,12,0.03278688524590164,0.35294117647058826,20.0
2,DA Warner,(Sunrisers Hyderabad),16,16,2,548,85*,39.14,407,134.64,0,4,0,52,14,0.0343980343980344,0.25,18.25
7,D Padikkal,(Royal Challengers Bangalore),15,15,0,473,74,31.53,379,124.8,0,5,0,51,8,0.0395778364116095,0.3333333333333333,16.8
10,F du Plessis,(Chennai Super Kings),13,13,2,449,87*,40.81,319,140.75,0,4,1,42,14,0.034482758620689655,0.3076923076923077,19.384615384615383
11,Shubman Gill,(Kolkata Knight Riders),14,14,1,440,70*,33.84,373,117.96,0,3,0,44,9,0.03485254691689008,0.21428571428571427,16.428571428571427
12,MK Pandey,(Sunrisers Hyderabad),16,15,2,425,83*,32.69,333,127.62,0,3,0,35,18,0.03903903903903904,0.2,16.533333333333335
17,N Pooran,(Kings XI Punjab),14,14,4,353,77,35.3,208,169.71,0,2,1,23,25,0.04807692307692308,0.14285714285714285,17.285714285714285
18,N Rana,(Kolkata Knight Riders),14,14,0,352,87,25.14,254,138.58,0,3,3,43,12,0.05511811023622047,0.21428571428571427,17.428571428571427
22,RG Sharma,(Mumbai Indians),12,12,0,332,80,27.66,260,127.69,0,3,1,27,19,0.046153846153846156,0.25,18.5
25,SPD Smith,(Rajasthan Royals),14,14,2,311,69,25.91,237,131.22,0,3,0,32,9,0.05063291139240506,0.21428571428571427,13.0
30,AJ Finch,(Royal Challengers Bangalore),12,12,0,268,52,22.33,241,111.2,0,1,0,28,8,0.04979253112033195,0.08333333333333333,13.333333333333334
35,PP Shaw,(Delhi Capitals),13,13,0,228,66,17.53,167,136.52,0,2,3,27,8,0.07784431137724551,0.15384615384615385,12.0
37,RD Gaikwad,(Chennai Super Kings),6,6,2,204,72,51.0,169,120.71,0,3,2,16,6,0.023668639053254437,0.5,16.666666666666668
3,SS Iyer,(Delhi Capitals),17,17,2,519,88*,34.6,421,123.27,0,3,0,40,16,0.035629453681710214,0.17647058823529413,15.058823529411764
4,Ishan Kishan,(Mumbai Indians),14,13,4,516,99,57.33,354,145.76,0,4,1,36,30,0.025423728813559324,0.3076923076923077,24.923076923076923
6,SA Yadav,(Mumbai Indians),16,15,3,480,79*,40.0,331,145.01,0,4,2,61,11,0.03625377643504532,0.26666666666666666,20.666666666666668
8,V Kohli,(Royal Challengers Bangalore),15,15,4,466,90*,42.36,384,121.35,0,3,0,23,11,0.028645833333333332,0.2,10.533333333333333
13,MA Agarwal,(Kings XI Punjab),11,11,0,424,106,38.54,271,156.45,1,2,0,44,15,0.04059040590405904,0.2727272727272727,24.181818181818183
14,EJG Morgan,(Kolkata Knight Riders),14,14,4,418,68*,41.8,302,138.41,0,1,0,32,24,0.033112582781456956,0.07142857142857142,19.428571428571427
16,AT Rayudu,(Chennai Super Kings),12,11,2,359,71,39.88,282,127.3,0,1,0,30,12,0.031914893617021274,0.09090909090909091,17.454545454545453
19,MP Stoinis,(Delhi Capitals),17,17,3,352,65,25.14,237,148.52,0,3,1,31,16,0.05907172995780591,0.17647058823529413,12.941176470588236
23,JC Buttler,(Rajasthan Royals),13,12,2,328,70*,32.8,227,144.49,0,2,0,27,16,0.04405286343612335,0.16666666666666666,17.0
24,KS Williamson,(Sunrisers Hyderabad),12,11,4,317,67,45.28,237,133.75,0,3,0,26,10,0.029535864978902954,0.2727272727272727,14.909090909090908
26,SR Watson,(Chennai Super Kings),11,11,1,299,83*,29.9,247,121.05,0,2,0,33,13,0.04048582995951417,0.18181818181818182,19.09090909090909
27,CH Gayle,(Kings XI Punjab),7,7,0,288,99,41.14,210,137.14,0,3,0,15,23,0.03333333333333333,0.42857142857142855,28.285714285714285
28,BA Stokes,(Rajasthan Royals),8,8,1,285,107*,40.71,200,142.5,1,1,0,36,7,0.035,0.25,23.25
29,HH Pandya,(Mumbai Indians),14,13,5,281,60*,35.12,157,178.98,0,1,1,14,25,0.050955414012738856,0.07692307692307693,15.846153846153847
33,RA Jadeja,(Chennai Super Kings),14,11,6,232,50,46.4,135,171.85,0,1,0,22,11,0.037037037037037035,0.09090909090909091,14.0
34,RA Tripathi,(Kolkata Knight Riders),11,11,1,230,81,23.0,181,127.07,0,1,0,21,10,0.055248618784530384,0.09090909090909091,13.090909090909092
39,RV Uthappa,(Rajasthan Royals),12,12,0,196,41,16.33,164,119.51,0,0,0,19,7,0.07317073170731707,0.0,9.833333333333334
44,PK Garg,(Sunrisers Hyderabad),14,10,1,133,51*,14.77,111,119.81,0,1,1,9,4,0.08108108108108109,0.1,6.0
45,Mandeep Singh,(Kings XI Punjab),7,7,1,130,66*,21.66,109,119.26,0,1,2,10,4,0.05504587155963303,0.14285714285714285,9.142857142857142
46,S Dube,(Royal Challengers Bangalore),11,9,2,129,27*,18.42,105,122.85,0,0,0,5,9,0.06666666666666667,0.0,8.222222222222221
31,KA Pollard,(Mumbai Indians),16,12,7,268,60*,53.6,140,191.42,0,1,1,15,22,0.03571428571428571,0.08333333333333333,16.0
32,R Tewatia,(Rajasthan Royals),14,11,5,255,53,42.5,183,139.34,0,1,0,13,17,0.03278688524590164,0.09090909090909091,14.0
36,WP Saha,(Sunrisers Hyderabad),4,4,1,214,87,71.33,153,139.86,0,2,0,24,5,0.0196078431372549,0.5,31.5
40,SM Curran,(Chennai Super Kings),14,11,3,186,52,23.25,141,131.91,0,1,2,12,12,0.05673758865248227,0.09090909090909091,10.909090909090908
41,SO Hetmyer,(Delhi Capitals),12,11,3,185,45,23.12,125,148.0,0,0,0,11,12,0.064,0.0,10.545454545454545
43,PJ Cummins,(Kolkata Knight Riders),14,11,4,146,53*,20.85,114,128.07,0,1,0,9,8,0.06140350877192982,0.09090909090909091,7.636363636363637
