,Player,Player Team,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,outrate,MRA,BRPI
47,SP Narine,(Kolkata Knight Riders),10,9,0,121,64,13.44,85,142.35,0,1,2,10,8,0.10588235294117647,0.1111111111111111,9.777777777777779
48,AR Patel,(Delhi Capitals),15,9,1,117,42,14.62,85,137.64,0,0,0,6,8,0.09411764705882353,0.0,8.0
49,AD Russell,(Kolkata Knight Riders),10,9,0,117,25,13.0,81,144.44,0,0,0,9,9,0.1111111111111111,0.0,10.0
0,KL Rahul,(Kings XI Punjab),14,14,2,670,132*,55.83,518,129.34,1,5,0,58,23,0.023166023166023165,0.42857142857142855,26.428571428571427
5,Q de Kock,(Mumbai Indians),16,16,2,503,78*,35.92,358,140.5,0,4,1,46,22,0.03910614525139665,0.25,19.75
9,AB de Villiers,(Royal Challengers Bangalore),15,14,4,454,73*,45.4,286,158.74,0,5,1,33,23,0.03496503496503497,0.35714285714285715,19.285714285714285
15,SV Samson,(Rajasthan Royals),14,14,1,375,85,28.84,236,158.89,0,3,2,21,26,0.05508474576271186,0.21428571428571427,17.142857142857142
20,JM Bairstow,(Sunrisers Hyderabad),11,11,0,345,97,31.36,272,126.83,0,3,1,31,13,0.04044117647058824,0.2727272727272727,18.363636363636363
21,RR Pant,(Delhi Capitals),14,14,3,343,56,31.18,301,113.95,0,1,0,31,9,0.036544850498338874,0.07142857142857142,12.714285714285714
38,MS Dhoni,(Chennai Super Kings),14,12,4,200,47*,25.0,172,116.27,0,0,0,16,7,0.046511627906976744,0.0,8.833333333333334
42,KD Karthik,(Kolkata Knight Riders),14,14,2,169,58,14.08,134,126.11,0,1,3,20,4,0.08955223880597014,0.07142857142857142,7.428571428571429
